TT,07,27,21,15,51,31,820731
o,24617,3302414,3302426
o,24618,3309076,3309088
o,24619,3315738,3315750
o,24620,3322400,3322412
o,24621,3329060,3329072
o,24622,3335722,3335734
o,24623,3342384,3342396
o,24624,3349048,3349060
o,24625,3355710,3355722
o,24626,3362372,3362384
o,24627,3369034,3369046
o,24628,3375696,3375708
o,24629,3382358,3382370
o,24630,3389020,3389032
o,24631,3395682,3395694
o,24632,3402344,3402356
o,24633,3409006,3409018
o,24634,3415670,3415682
o,24635,3422330,3422342
o,24636,3428992,3429004
o,24637,3435654,3435666
o,24638,3442316,3442328
o,24639,3448978,3448990
o,24640,3455500,3455512
o,24641,3462162,3462174
o,24642,3468824,3468836
o,24643,3475486,3475498
o,24644,3482150,3482162
o,24645,3488812,3488824
o,24646,3495474,3495486
o,24647,3502136,3502148
o,24648,3508798,3508810
o,24649,3515460,3515472
o,24650,3522122,3522134
o,24651,3528784,3528796
o,24652,3535446,3535458
o,24653,3542028,3542040
o,24654,3548690,3548702
o,24655,3555350,3555362
o,24656,3562012,3562024
o,24657,3568674,3568686
o,24658,3575336,3575348
o,24659,3581996,3582008
o,24660,3588658,3588670
o,24661,3595320,3595332
o,24662,3601982,3601994
o,24663,3608644,3608656
o,24664,3615308,3615320
o,24665,3622484,3622496
o,24666,3629146,3629158
o,24667,3635808,3635820
o,24668,3642470,3642482
o,24669,3649132,3649144
o,24670,3655794,3655806
o,24671,3662456,3662468
o,24672,3669336,3669348
o,24673,3675660,3675672
o,24674,3682324,3682336
o,24675,3688984,3688996
o,24676,3695648,3695660
o,24677,3702310,3702322
o,24678,3708972,3708984
o,24679,3715634,3715646
o,24680,3722296,3722308
o,24681,3728958,3728970
o,24682,3735620,3735632
o,24683,3742282,3742294
o,24684,3748878,3748890
o,24685,3756052,3756064
o,24686,3762714,3762726
o,24687,3769376,3769388
o,24688,3776036,3776048
o,24689,3782698,3782710
o,24690,3789358,3789370
o,24691,3796020,3796032
o,24692,3802682,3802694
o,24693,3809344,3809356
o,24694,3816008,3816020
o,24695,3822668,3822680
o,24696,3829330,3829342
o,24697,3835916,3835928
o,24698,3842578,3842590
o,24699,3849240,3849252
o,24700,3855902,3855914
o,24701,3862564,3862576
o,24702,3869226,3869238
o,24703,3875888,3875900
o,24704,3882552,3882564
o,24705,3889728,3889740
o,24706,3896390,3896402
o,24707,3903052,3903064
o,24708,3909714,3909726
o,24709,3916376,3916388
o,24710,3923038,3923050
o,24711,3929700,3929712
o,24712,3936362,3936374
o,24713,3943026,3943038
o,24714,3949692,3949704
EC, 201,5822,   0,6024
ER,5893, 123,   8
o,24715,3956354,3956366
o,24716,3963016,3963028
o,24717,3969678,3969690
o,24718,3976340,3976352
o,24719,3983002,3983014
o,24720,3989664,3989676
o,24721,3996326,3996338
o,24722,4002828,4002840
o,24723,4009490,4009502
o,24724,4016154,4016168
o,24725,4022814,4022826
o,24726,4029476,4029488
o,24727,4036138,4036150
o,24728,4042800,4042812
o,24729,4049462,4049474
o,24730,4056124,4056136
o,24731,4062786,4062798
o,24732,4069448,4069460
o,24733,4076110,4076122
o,24734,4082774,4082786
o,24735,4089434,4089446
o,24736,4096096,4096108
o,24737,4102758,4102770
o,24738,4109420,4109432
o,24739,4116082,4116094
o,24740,4122638,4122650
o,24741,4129298,4129310
o,24742,4135960,4135972
o,24743,4142622,4142634
o,24744,4149286,4149298
o,24745,4155948,4155960
o,24746,4162610,4162622
o,24747,4169272,4169284
o,24748,4175934,4175946
o,24749,4182596,4182608
o,24750,4189258,4189270
o,24751,4195920,4195932
o,24752,4202582,4202594
o,24753,4209244,4209256
o,24754,4215908,4215920
o,24755,4222568,4222580
o,24756,4229230,4229242
o,24757,4235892,4235904
o,24758,4242448,4242460
o,24759,4249108,4249120
o,24760,4255770,4255782
o,24761,4262432,4262444
o,24762,4269096,4269108
o,24763,4275758,4275770
o,24764,4282468,4282480
o,24765,4289130,4289142
o,24766,4295792,4295804
o,24767,4302454,4302466
o,24768,4309116,4309128
o,24769,4315778,4315790
o,24770,4322440,4322452
o,24771,4329102,4329114
o,24772,4335764,4335776
o,24773,4342426,4342438
o,24774,4349090,4349102
o,24775,4355750,4355762
o,24776,4362254,4362266
o,24777,4368916,4368928
o,24778,4375578,4375590
o,24779,4382240,4382252
o,24780,4388902,4388914
o,24781,4395566,4395578
o,24782,4402228,4402240
o,24783,4408890,4408902
o,24784,4415554,4415566
o,24785,4422880,4422892
o,24786,4429542,4429554
o,24787,4436204,4436216
o,24788,4442636,4442648
o,24789,4449298,4449310
o,24790,4455960,4455972
o,24791,4462622,4462634
o,24792,4469284,4469296
o,24793,4475946,4475958
o,24794,4482614,4482626
o,24795,4489274,4489286
o,24796,4495936,4495948
o,24797,4502598,4502610
o,24798,4509260,4509272
o,24799,4515922,4515934
o,24800,4522508,4522520
o,24801,4529170,4529182
o,24802,4535830,4535842
o,24803,4542492,4542504
o,24804,4549156,4549168
o,24805,4555996,4556008
o,24806,4562444,4562456
