o,20081,3257444,3257456
o,20082,3264012,3264024
o,20083,3270668,3270680
o,20084,3277330,3277342
o,20085,3283996,3284008
o,20086,3290656,3290668
EC, 157,4865,   0,5023
ER,4917,  98,   8
o,20087,3297320,3297332
o,20088,3303982,3303994
o,20089,3310644,3310656
o,20090,3317306,3317318
o,20091,3323968,3323980
o,20092,3330790,3330802
o,20093,3337452,3337464
o,20094,3344114,3344126
o,20095,3350778,3350790
o,20096,3357438,3357450
o,20097,3363852,3363864
o,20098,3370512,3370524
o,20099,3377172,3377184
o,20100,3383832,3383844
o,20101,3390494,3390506
o,20102,3397156,3397168
o,20103,3403818,3403830
o,20104,3410480,3410492
o,20105,3417144,3417156
o,20106,3423804,3423816
o,20107,3430466,3430478
o,20108,3437128,3437140
o,20109,3443790,3443802
o,20110,3450452,3450464
o,20111,3457114,3457126
o,20112,3463778,3463790
o,20113,3470440,3470452
o,20114,3477004,3477016
o,20115,3483666,3483678
o,20116,3490326,3490338
o,20117,3496988,3497000
o,20118,3503650,3503662
o,20119,3510312,3510324
o,20120,3516974,3516986
o,20121,3523634,3523646
o,20122,3530296,3530308
o,20123,3536958,3536970
o,20124,3543620,3543632
o,20125,3550284,3550296
o,20126,3556942,3556954
o,20127,3563604,3563616
o,20128,3570266,3570278
o,20129,3576928,3576940
o,20130,3583590,3583602
o,20131,3590156,3590168
o,20132,3596820,3596832
o,20133,3603480,3603492
o,20134,3610142,3610154
o,20135,3616806,3616818
o,20136,3623466,3623478
o,20137,3630128,3630140
o,20138,3636790,3636802
o,20139,3643452,3643464
o,20140,3650114,3650126
o,20141,3656776,3656788
o,20142,3663438,3663450
o,20143,3670100,3670112
o,20144,3676760,3676772
o,20145,3683424,3683436
o,20146,3690084,3690096
o,20147,3696746,3696758
o,20148,3703408,3703420
o,20149,3709964,3709976
o,20150,3716626,3716638
o,20151,3723288,3723300
o,20152,3730620,3730632
o,20153,3737282,3737294
o,20154,3743944,3743956
o,20155,3750608,3750620
o,20156,3757268,3757280
o,20157,3763930,3763942
o,20158,3770592,3770604
o,20159,3777254,3777266
o,20160,3783916,3783928
o,20161,3790348,3790360
o,20162,3797010,3797022
o,20163,3803672,3803684
o,20164,3810334,3810346
o,20165,3816998,3817010
o,20166,3823658,3823670
o,20167,3830318,3830330
o,20168,3836978,3836990
o,20169,3843640,3843652
o,20170,3850302,3850314
o,20171,3856964,3856976
o,20172,3863628,3863640
o,20173,3870288,3870300
o,20174,3876950,3876962
o,20175,3883614,3883626
o,20176,3890274,3890286
o,20177,3896936,3896948
o,20178,3903600,3903612
o,20179,3910262,3910274
o,20180,3916818,3916830
o,20181,3923480,3923492
o,20182,3930142,3930154
o,20183,3936802,3936814
o,20184,3943466,3943478
o,20185,3950132,3950144
EC, 196,5827,   0,6024
ER,5890, 126,   8
o,20186,3956748,3956760
o,20187,3963410,3963422
o,20188,3970072,3970084
o,20189,3976734,3976746
o,20190,3983396,3983408
o,20191,3990058,3990070
o,20192,3996722,3996734
o,20193,4003382,4003394
o,20194,4010044,4010056
o,20195,4016708,4016722
o,20196,4023368,4023380
o,20197,4030030,4030042
o,20198,4036692,4036704
o,20199,4043354,4043366
o,20200,4050016,4050028
o,20201,4056678,4056690
o,20202,4063244,4063256
o,20203,4069906,4069918
o,20204,4076568,4076580
o,20205,4083232,4083244
o,20206,4089892,4089904
o,20207,4096554,4096566
o,20208,4103216,4103228
o,20209,4109878,4109890
o,20210,4116540,4116552
o,20211,4123202,4123214
o,20212,4129866,4129878
o,20213,4136528,4136540
o,20214,4143190,4143202
o,20215,4149854,4149866
o,20216,4156514,4156526
o,20217,4163176,4163188
o,20218,4169838,4169850
o,20219,4176396,4176408
o,20220,4183058,4183070
o,20221,4189720,4189732
o,20222,4196382,4196394
,20223,4203044,4203056
o,20224,4209706,4209718
o,20225,4216370,4216382
o,20226,4223030,4223042
o,20227,4229690,4229702
o,20228,4236352,4236364
o,20229,4243014,4243026
o,20230,4249676,4249688
o,20231,4256338,4256350
o,20232,4263158,4263170
o,20233,4269820,4269832
o,20234,4276236,4276248
o,20235,4282900,4282912
