o,35625,4391480,4391494
o,35626,4401724,4401738
o,35627,4411974,4411986
o,35628,4422218,4422232
o,35629,4432464,4432478
o,35630,4442710,4442724
o,35631,4452956,4452970
o,35632,4463202,4463216
o,35633,4473448,4473462
o,35634,4483700,4483714
o,35635,4493946,4493960
o,35636,4504192,4504206
o,35637,4514438,4514452
o,35638,4524556,4524570
o,35639,4534804,4534818
o,35640,4545052,4545064
o,35641,4555296,4555310
o,35642,4565542,4565556
o,35643,4575788,4575802
o,35644,4586034,4586048
o,35645,4596282,4596296
o,35646,4606530,4606542
EC, 149,6875,   0,7025
ER,6914, 102,   8
o,35647,4616780,4616794
o,35648,4627026,4627040
o,35649,4637272,4637286
o,35650,4647518,4647532
o,35651,4657764,4657778
o,35652,4668010,4668024
o,35653,4678260,4678272
o,35654,4688504,4688518
o,35655,4698636,4698650
o,35656,4708882,4708896
o,35657,4719128,4719142
o,35658,4729374,4729388
o,35659,4739622,4739636
o,35660,4749872,4749886
o,35661,4760118,4760132
o,35662,4770364,4770378
o,35663,4780610,4780624
o,35664,4790856,4790870
o,35665,4801036,4801050
o,35666,4811286,4811298
o,35667,4821528,4821542
o,35668,4831774,4831788
o,35669,4842020,4842034
o,35670,4852266,4852280
o,35671,4862512,4862526
o,35672,4872758,4872772
o,35673,4883008,4883022
o,35674,4893254,4893268
o,35675,4903500,4903514
o,35676,4913678,4913692
o,35677,4923924,4923938
o,35678,4934170,4934184
o,35679,4944422,4944434
o,35680,4954666,4954680
o,35681,4964912,4964926
o,35682,4975158,4975172
o,35683,4985404,4985418
o,35684,4995650,4995664
o,35685,5005836,5005850
o,35686,5016088,5016102
o,35687,5026334,5026348
o,35688,5036580,5036594
o,35689,5046826,5046840
o,35690,5057070,5057084
o,35691,5067316,5067330
o,35692,5077564,5077576
o,35693,5087808,5087822
o,35694,5098054,5098068
o,35695,5108300,5108314
o,35696,5118546,5118560
o,35697,5128792,5128806
o,35698,5139038,5139052
o,35699,5149292,5149306
o,35700,5159538,5159552
o,35701,5169784,5169798
o,35702,5180030,5180044
o,35703,5190276,5190290
o,35704,5200522,5200536
o,35705,5210640,5210652
o,35706,5220884,5220898
o,35707,5231130,5231144
o,35708,5241376,5241390
o,35709,5251624,5251638
o,35710,5261870,5261882
EC, 175,7850,   0,8025
ER,7893, 123,   8
o,35711,5272114,5272128
o,35712,5282366,5282380
o,35713,5292612,5292626
o,35714,5302858,5302872
o,35715,5313104,5313118
o,35716,5323350,5323364
o,35717,5333596,5333610
o,35718,5343846,5343858
o,35719,5354092,5354106
o,35720,5364236,5364250
o,35721,5374480,5374494
o,35722,5384724,5384738
o,35723,5394968,5394982
o,35724,5405214,5405228
o,35725,5415468,5415482
o,35726,5425714,5425728
o,35727,5435958,5435972
o,35728,5446204,5446218
o,35729,5456450,5456464
o,35730,5466696,5466710
o,35731,5476946,5476958
o,35732,5487116,5487130
o,35733,5497362,5497376
o,35734,5507608,5507622
o,35735,5517854,5517868
o,35736,5528100,5528114
o,35737,5538346,5538360
