TT,07,29,21,02,28,28,473869
in      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4â[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 992,   0,1021
ER,1013,   0,   8
t,51083,1118206,1118218
EC,  39,1982,   0,2022
ER,2011,   2,   8
EC,  49,2972,   0,3022
EC,4845,134252,   0,139097
ER,134654,4435,   8
EC,4854,135243,   0,140097
ER,135653,4435,   8
EC,4862,136236,   0,141098
ER,136654,4435,   8
EC,4871,137228,   0,142099
ER,137655,4435,   8
EC,4879,138220,   0,143100
ER,138655,4435,   8
EC,4888,139212,   0,144100
ER,139656,4435,   8
EC,4896,140204,   0,145101
ER,140656,4435,   8
EC,4905,141196,   0,146101
ER,141656,4436,   8
EC,4913,142188,   0,147102
ER,142657,4436,   8
EC,4922,143180,   0,148102
ER,143657,4436,   8
EC,4930,144172,   0,149103
ER,144658,4436,   8
EC,4939,145164,   0,150103
ER,145658,4436,   8
EC,4947,146156,   0,151104
ER,146659,4436,   8
EC,4956,147147,   0,152104
ER,147658,4438,   8
EC,4965,148140,   0,153105
ER,148658,4438,   8
EC,4974,149131,   0,154105
ER,149658,4439,   8
EC,4983,150122,   0,155106
ER,150658,4439,   8
EC,4991,151115,   0,156106
ER,151658,4439,   8
EC,5000,152107,   0,157107
ER,152659,4439,   8
EC,5009,153098,   0,158107
ER,153658,4440,   8
EC,5018,154090,   0,159108
ER,154659,4440,   8
EC,5026,155082,   0,160109
ER,155660,4440,   8
EC,5034,156075,   0,161110
ER,156660,4440,   8
EC,5044,157066,   0,162110
ER,157661,4440,   8
EC,5052,158058,   0,163111
ER,158662,4440,   8
EC,5061,159049,   0,164111
ER,159661,4441,   8
EC,5069,160042,   0,165112
ER,160662,4441,   8
EC,5078,161034,   0,166112
ER,161662,4441,   8
EC,5086,162026,   0,167113
ER,162663,4441,   8
EC,5095,163018,   0,168113
ER,163663,4441,   8
EC,5103,164010,   0,169114
ER,164664,4441,   8
EC,5112,165001,   0,170114
ER,165664,4442,   8
EC,5121,165994,   0,171115
ER,166664,4442,   8
EC,5129,166985,   0,172115
ER,167664,4442,   8
EC,5138,167977,   0,173116
ER,168665,4443,   8
EC,5147,168969,   0,174116
ER,169665,4443,   8
EC,5156,169961,   0,175117
ER,170665,4444,   8
EC,5165,170952,   0,176117
ER,171664,4444,   8
EC,5173,171944,   0,177118
ER,172665,4444,   8
EC,5182,172936,   0,178119
ER,173665,4444,   8
EC,5190,173929,   0,179119
ER,174666,4444,   8
