o,33146,7074344,7074356
o,33147,7084588,7084602
o,33148,7094796,7094810
o,33149,7105044,7105058
o,33150,7115290,7115304
o,33151,7125536,7125550
o,33152,7135782,7135796
o,33153,7146034,7146048
o,33154,7156280,7156294
o,33155,7166476,7166490
o,33156,7176722,7176736
o,33157,7186966,7186980
o,33158,7197212,7197226
o,33159,7207462,7207474
o,33160,7217708,7217722
o,33161,7227956,7227968
EC, 222,10804,   0,11027
ER,10844, 174,   8
o,33162,7238200,7238214
o,33163,7248448,7248462
o,33164,7258694,7258708
o,33165,7268876,7268890
o,33166,7279130,7279144
o,33167,7289376,7289390
o,33168,7299622,7299636
o,33169,7309868,7309882
o,33170,7320114,7320128
o,33171,7330316,7330330
o,33172,7340566,7340578
o,33173,7350812,7350826
o,33174,7361058,7361072
o,33175,7371304,7371318
o,33176,7381550,7381564
o,33177,7391796,7391810
o,33178,7402042,7402056
o,33179,7412294,7412308
o,33180,7422540,7422554
o,33181,7432786,7432800
o,33182,7442970,7442984
o,33183,7453214,7453228
o,33184,7463436,7463450
o,33185,7473686,7473698
o,33186,7484362,7484376
o,33187,7494670,7494684
o,33188,7504916,7504930
o,33189,7515162,7515176
o,33190,7525408,7525422
o,33191,7535654,7535668
o,33192,7545904,7545918
o,33193,7556150,7556164
o,33194,7566396,7566410
o,33195,7576642,7576656
o,33196,7586888,7586902
o,33197,7597068,7597082
o,33198,7607318,7607332
o,33199,7617564,7617578
o,33200,7627808,7627822
o,33201,7638054,7638068
o,33202,7648300,7648314
o,33203,7658546,7658560
o,33204,7668748,7668760
o,33205,7678992,7679006
o,33206,7689238,7689252
o,33207,7699484,7699498
o,33208,7709730,7709744
o,33209,7719976,7719990
o,33210,7730222,7730236
o,33211,7740472,7740486
o,33212,7750718,7750732
o,33213,7760964,7760978
o,33214,7771210,7771224
o,33215,7781456,7781470
a,33216,7791702,7791716
o,33217,7801948,7801962
o,33218,7812198,7812212
o,33219,7822444,7822458
o,33220,7832690,7832704
o,33221,7842936,7842950
o,33222,7853182,7853196
o,33223,7863428,7863442
o,33224,7873680,7873694
EC, 249,11778,   0,12027
ER,11820, 199,   8
o,33225,7883928,7883942
o,33226,7894288,7894302
o,33227,7904268,7904282
o,33228,7914514,7914528
o,33229,7924760,7924774
o,33230,7935006,7935020
o,33231,7945256,7945270
o,33232,7955502,7955516
o,33233,7965748,7965762
o,33234,7975994,7976008
o,33235,7986240,7986254
o,33236,7996486,7996500
o,33237,8006674,8006688
o,33238,8016920,8016934
o,33239,8027166,8027180
o,33240,8037412,8037426
o,33241,8047658,8047672
o,33242,8057904,8057918
o,33243,8068150,8068164
o,33244,8078488,8078502
o,33245,8088588,8088602
o,33246,8098836,8098850
o,33247,8109082,8109096
o,33248,8119332,8119346
o,33249,8129578,8129592
o,33250,8139792,8139806
o,33251,8150036,8150050
o,33252,8160282,8160296
o,33253,8170528,8170542
o,33254,8180774,8180788
o,33255,8191020,8191034
o,33256,8201266,8201280
o,33257,8211516,8211530
o,33258,8221762,8221776
o,33259,8232008,8232022
o,33260,8242254,8242268
o,33261,8252500,8252514
o,33262,8262746,8262760
