TT,07,28,21,21,56,39,240841
FO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[ÿ[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 991,   0,1021
EC,5405,101674,   0,107079
ER,99574,7496,   8
EC,5453,102627,   0,108080
ER,100513,7558,   8
EC,5513,103567,   0,109080
ER,101439,7633,   8
decrypt, 71955910,71955924
encrypt, 71956090,71956098
t,35955,71956088,0,0,71956266
EC,5576,104505,   0,110081
ER,102353,7719,   8
EC,5626,105456,   0,111082
ER,103288,7785,   8
EC,5681,106401,   0,112082
ER,104208,7865,   8
EC,5729,107353,   0,113083
ER,105139,7934,   8
EC,5785,108298,   0,114084
ER,106065,8010,   8
EC,5840,109243,   0,115084
ER,106984,8091,   8
decrypt, 75882206,75882218
encrypt, 75882384,75882392
t,35956,75882382,0,0,75882562
EC,5903,110180,   0,116084
ER,107898,8178,   8
EC,5965,111119,   0,117085
ER,108816,8260,   8
EC,6017,112069,   0,118086
ER,109749,8329,   8
EC,6083,113003,   0,119086
ER,110661,8416,   8
EC,6125,113961,   0,120086
ER,111602,8476,   8
EC,6177,114909,   0,121087
ER,112535,8544,   8
decrypt, 79814418,79814432
encrypt, 79814596,79814606
t,35957,79814596,0,0,79814776
EC,6232,115856,   0,122088
ER,113464,8615,   8
EC,6290,116798,   0,123088
ER,114381,8698,   8
EC,6331,117757,   0,124089
ER,115328,8752,   8
EC,6391,118698,   0,125089
ER,116248,8832,   8
EC,6436,119654,   0,126090
ER,117194,8887,   8
EC,6494,120595,   0,127090
ER,118115,8967,   8
decrypt, 83750612,83750626
encrypt, 83750792,83750800
t,35959,83750790,0,0,83750970
EC,6532,121558,   0,128091
ER,119066,9016,   8
EC,6586,122505,   0,129092
ER,119993,9090,   8
EC,6632,123460,   0,130092
ER,120927,9157,   8
EC,6685,124407,   0,131092
ER,121854,9229,   8
EC,6748,125345,   0,132093
ER,122763,9321,   8
EC,6798,126295,   0,133094
ER,123697,9388,   8
decrypt, 87684860,87684872
encrypt, 87685038,87685046
t,35960,87685036,0,0,87685216
EC,6859,127235,   0,134095
ER,124608,9478,   8
EC,6889,128205,   0,135095
ER,125573,9513,   8
EC,6898,129198,   0,136096
ER,126574,9513,   8
EC,6906,130190,   0,137096
ER,127574,9513,   8
EC,6914,131182,   0,138097
ER,128575,9513,   8
EC,6923,132174,   0,139097
ER,129575,9513,   8
decrypt, 91611422,91611436
encrypt, 91611600,91611610
t,35961,91611600,0,0,91611780
EC,6932,133165,   0,140098
ER,130576,9514,   8
EC,6941,134157,   0,141098
ER,131576,9514,   8
EC,6949,135149,   0,142099
ER,132577,9514,   8
EC,6958,136141,   0,143099
ER,133577,9514,   8
EC,6966,137134,   0,144100
ER,134578,9514,   8
EC,6974,138125,   0,145100
ER,135578,9514,   8
decrypt, 95544644,95544658
encrypt, 95544824,95544832
