TT,07,29,21,02,59,58,420221
ing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
ER,130076,   7,   8
EC, 507,130586,   0,131093
ER,131077,   7,   8
EC, 509,131584,   0,132094
ER,132078,   7,   8
EC, 512,132582,   0,133094
ER,133078,   7,   8
EC, 514,133579,   0,134094
ER,134078,   7,   8
EC, 517,134577,   0,135095
ER,135079,   7,   8
EC, 520,135575,   0,136095
ER,136079,   7,   8
EC, 522,136574,   0,137096
ER,137080,   7,   8
EC, 525,137572,   0,138097
ER,138081,   7,   8
EC, 527,138570,   0,139097
ER,139081,   7,   8
EC, 530,139567,   0,140098
ER,140082,   7,   8
EC, 533,140565,   0,141098
ER,141082,   7,   8
EC, 535,141563,   0,142099
ER,142082,   7,   8
EC, 538,142561,   0,143099
ER,143083,   7,   8
EC, 540,143559,   0,144100
ER,144083,   7,   8
EC, 543,144557,   0,145101
ER,145085,   7,   8
EC, 546,145555,   0,146101
ER,146085,   7,   8
EC, 548,146553,   0,147102
ER,147086,   7,   8
EC, 551,147551,   0,148102
ER,148086,   7,   8
EC, 553,148549,   0,149103
ER,149087,   7,   8
EC, 556,149547,   0,150103
ER,150087,   7,   8
EC, 558,150545,   0,151104
ER,151088,   7,   8
EC, 561,151543,   0,152105
ER,152089,   7,   8
EC, 564,152540,   0,153105
ER,153089,   7,   8
EC, 567,153538,   0,154106
ER,154090,   7,   8
EC, 570,154536,   0,155106
ER,155090,   7,   8
EC, 572,155534,   0,156107
ER,156091,   7,   8
EC, 575,156532,   0,157107
ER,157091,   8,   8
EC, 578,157530,   0,158108
ER,158091,   8,   8
EC, 580,158528,   0,159108
ER,159092,   8,   8
EC, 583,159526,   0,160109
ER,160093,   8,   8
EC, 585,160524,   0,161110
ER,161093,   8,   8
EC, 588,161522,   0,162110
ER,162094,   8,   8
EC, 591,162520,   0,163111
ER,163094,   8,   8
EC, 593,163517,   0,164111
ER,164094,   8,   8
EC, 596,164515,   0,165112
ER,165095,   8,   8
EC, 598,165513,   0,166112
ER,166096,   8,   8
EC, 601,166511,   0,167113
ER,167096,   8,   8
EC, 604,167509,   0,168113
ER,168097,   8,   8
EC, 606,168507,   0,169114
ER,169097,   8,   8
EC, 609,169505,   0,170114
ER,170097,   8,   8
EC, 611,170503,   0,171115
ER,171098,   8,   8
EC, 614,171501,   0,172116
ER,172099,   8,   8
EC, 617,172499,   0,173116
ER,173099,   8,   8
EC, 620,173497,   0,174117
ER,174100,   8,   8
EC, 622,174495,   0,175117
ER,175100,   8,   8
EC, 625,175492,   0,176117
ER,176100,   8,   8
EC, 628,176490,   0,177118
ER,177101,   8,   8
EC, 630,177488,   0,178119
ER,178102,   8,   8
EC, 633,178486,   0,179119
ER,179102,   8,   8
